vendor,amount,year
CAREGIVER HOMES OF MA INC,42170217.38,2023
LAHEY CLINIC HOSPITAL INC,42028128.38,2023
MAXIMUS US SERVICES INC,41779181.42,2023
NORTHEAST HOSPITAL CORP,41143342.27,2023
UMASS MEMORIAL HEALTHALLIANCE-CLINTON,40373332.98,2023
"STEWARD HOLY FAM. HOSPITAL, INC.",40251672.33,2023
UMASS MEMORIAL MEDICAL GROUP,39750974.49,2023
STEWARD ST  ANNES HOSP CORP,39010108.72,2023
MASS GENERAL PHYSICIAN ORG,38596714.77,2023
NIZHONI HEALTH SYSTEMS LLC,37590050.31,2023
VHS ACQUISITION SUBSIDIARY NUMBER 9 INC,36219395.04,2023
"AUTOMATED HEALTH SYSTEMS, INC.",35655471.28,2023
GAINWELL TECHNOLOGIES LLC,35051169.9,2023
HARBOR HEALTH SERVICES INC,34662752.92,2023
WYNDEN STARK LLC,34596258.57,2023
IHEALTH LABS INC,33000000.0,2023
CAREMARK LLC,32839357.57,2023
AURA STAFFING PARTNERS CHICAGO LLC,32599057.01,2023
PROFESSIONAL STAFFING GROUP,32122675.29,2023
FRANCISCAN HOSPITAL FOR CHILDREN,30894509.08,2023
STEWARD MEDICAL GROUP INC,30028141.42,2023
CENTRUS PREMIER HOME CARE,29508391.81,2023
DELOITTE CONSULTING LLP,28881155.69,2023
BRIGHAM & WOMENS FAULKNER HOSP INC,28817480.31,2023
BROCKTON NEIGHBORHOOD HLTH CTR,28579896.32,2023
LYNN COMMUNITY HEALTH INC,28371526.95,2023
BETH ISRAEL HOSPITAL ASSOC,28216485.26,2023
INFICARE HEALTH INC,27948224.99,2023
CAMBRIDGE HEALTH ALLIANCE PHYS ORG INC,27887463.39,2023
PROCARE PHARMACY LLC,27753864.36,2023
BERKSHIRE MEDICAL CTR  INC,26162334.61,2023
CONDUENT STATE HEALTHCARE LLC,26123980.46,2023
STEWARD CARNEY HOSPITAL INC,25789740.54,2023
DPH WESTERN MASS HOSPITAL,25759946.6,2023
MILFORD REGIONAL MEDICAL CENTER INC,25753935.12,2023
BETH ISRAEL DEACONESS HOSP PLYMTH INC,24845839.34,2023
FAIRVIEW EXTND CA SVCS INC,24716462.63,2023
MARTHA'S VINEYARD HOSP INC,24289537.09,2023
SERENITY CARE,23912221.21,2023
MASSACHUSETTS LEAGUE OF,23881071.08,2023
STANDARD MODERN CO INC,23847797.94,2023
MASS GENERAL BRIGHAM ACO LLC,23841495.82,2023
ACCREDO HEALTH GROUP INC,23840688.44,2023
BRIGHAM AND WOMENS PHYSICIANS ORG INC,23763200.59,2023
NEWTON-WELLESLEY HOSPITAL,23412280.53,2023
COOLEY DICKINSON HOSP INC,23087138.32,2023
"MORTON HOSP, A STEWARD FAMILY HOSP. INC",21982281.3,2023
"OPTUM GOVERNMENT SOLUTIONS, INC",21717133.73,2023
HOLYOKE HEALTH CENTER INC,21567432.17,2023
"NORTHEAST ARC, INC.",21524240.18,2023
SEVEN HILLS EXT CARE AT GROTON,21343951.1,2023
WALGREEN EASTERN CO INC,21156279.34,2023
"FAMILY HEALTH CENTER OF WORCESTER, INC.",20777581.24,2023
ADVOCATES INC,20170755.3,2023
DENTAL DREAMS LLC,20159216.75,2023
"UPHAMS CORNER HEALTH COMMITTEE, INC",19705572.42,2023
BAYSTATE FRANKLIN MED. CTR.,19341805.25,2023
NEW ENGLAND FAMILY DENTISTRY PC,18866107.99,2023
NONOTUCK RESOURCE ASSOCIATES INC,18533971.14,2023
MOUNT AUBURN HOSPITAL,18304691.89,2023
"EDWARD M. KENNEDY COM HLTH CTR, INC",18010401.78,2023
MASS EYE & EAR INFIRM,17253050.36,2023
STURDY MEMORIAL HOSPITAL INC,16796620.83,2023
GREATER LAWRENCE FAMILY HEALTH CENTER,16268318.38,2023
GENOA HEALTHCARE LLC,16217911.99,2023
THE SPAULDING REHABILITATION HOSPITAL CO,15697996.1,2023
WEC HEALTH LLC,15280758.0,2023
MARLBOROUGH HOSPITAL,14978996.55,2023
MERCER HEALTH & BENEFITS LLC,14970885.0,2023
INSIGHT GLOBAL LLC,14952837.17,2023
BEACON HOSPICE LLC,14918982.9,2023
"WAL-MART STORES EAST, LP",14763661.12,2023
STOP & SHOP SUPERMARKET COMPANY,14654928.01,2023
BIDMC PHARMACY INC,14527227.16,2023
"SPAULDING HOSPITAL - CAMBRIDGE, INC.",14517208.69,2023
"BAYSTATE MEDICAL CENTER, INC.",14467161.59,2023
NEW ENGLAND LONG-TERM CARE INC,14416572.52,2023
ADULT DAY HEALTH INC,14288155.3,2023
COMM COUNSELING OF B C INC,14112980.23,2023
DENTAL SERVICE OF MASS INC,13993428.45,2023
FALMOUTH HOSPITAL ASSOCIATION INC,13883668.75,2023
EMERSON HOSPITAL,13573709.04,2023
COMMUNITY HEALTH CONNECTIONS,13478476.11,2023
FENWAY COMMUNITY HEALTH CENTER,13292236.75,2023
KOOL SMILES MAC PC,13167246.85,2023
BAYSTATE MEDICAL PRACTICES,13096325.26,2023
NORTHEAST BEHAVIORAL HEALTH LLC,12776036.23,2023
HOLYOKE CARE CENTER LLC,12604817.7,2023
BOSTON HEALTH CARE FOR THE HOMELESS,12567560.27,2023
HILLCREST EXT CARE SVS INC,12187004.87,2023
OPTUM INFUSION SERVICES 550 LLC,12143820.65,2023
TRUSTEES OF TUFTS COLLEGE,11986514.39,2023
HOME AGAIN HEALTH CARE LLC,11952423.49,2023
SEVEN HILLS FAMILY SRV INC,11853276.28,2023
LOWELL COMMUNITY HEALTH CENTER INC,11834288.86,2023
THE BOSTON HOME INC,11750329.66,2023
MELROSE WAKEFIELD HEALTHCARE INC,11660747.81,2023
DIMOCK COMMUNITY HEALTH CTR,11612223.51,2023
BOSTON PUBLIC HEALTH COMMISSION,11549211.2,2023
COMMUNITY CARE PARTNERS LLC,11369150.63,2023
CARE DIMENSIONS INC,11306622.29,2023
MERCY LIFE INC,11208043.68,2023
MCINNIS CONSULTING SERVICES,11191213.39,2023
BAYSTATE WING HOSPITAL CORPORATION,11099227.23,2023
RIVERSIDE COMMUNITY CARE INC,11094844.94,2023
CATHOLIC MEMORIAL HOME,11055336.64,2023
BEHAVIORAL HEALTH NETWORK INC,11037134.1,2023
THE NORTHEAST HEALTH GROUP INC,10840129.89,2023
"MASSACHUSETTS MENTOR, LLC",10788341.34,2023
SPRINGFIELD FAMILY DENTAL PC,10736242.16,2023
OPEN SKY COMMUNITY SERVICES INC,10730279.92,2023
QUEST DIAGNOSTICS MASSACHUSETTS LLC,10726788.05,2023
ELIOT COMMUNITY HUMAN SRVCS,10704594.68,2023
ANODYNE MEDICAL SERVICES CORP,10515407.15,2023
CORAM HEALTHCARE CORP OF MA,10454877.69,2023
HIGH POINT TREATMENT CTR INC,10081351.17,2023
"NORTH SHORE PHYSICIANS GROUP, INC.",10061446.31,2023
"COMMUNITY HLTH CTR OF CAPE COD, INC.",10029878.41,2023
HARRINGTON MEMORIAL HOSP -INPT,9940051.88,2023
RHODE ISLAND HOSPITAL,9849593.61,2023
WORCESTER MA SNF LLC,9817075.02,2023
"SMARTRONIX, LLC",9778136.89,2023
LOWN ACQUISITION LLC,9756652.19,2023
COLOR HEALTH INC,9755475.74,2023
"VITRA HEALTH, INC",9662501.65,2023
COMMUNITY CONNECTIONS INC,9630230.57,2023
"MASS GENERAL BRIGHAM CMTY PHYS, INC",9565743.58,2023
BAYADA HOME HEALTH CARE INC,9485677.02,2023
SHRIVER NURSING SERVICES INC,9450037.45,2023
BREWSTER AMBULANCE SERVICE INC,9432900.77,2023
"MRNC OPERATING, LLC",9387014.06,2023
4499 ACUSHNET AVE OPERATING CO LLC,9191681.26,2023
HOLDEN NURSING HOME INC,9093113.57,2023
PLYMOUTH MA SNF LLC,9092452.06,2023
"NEW ENGLAND SINAI HOSP, A STEWARD FAM HO",9043832.63,2023
WHITTIER STREET HEALTH CTR COMMITTEE INC,8970676.24,2023
ACCENTURE STATE HEALTHCARE SERVICES LLC,8939130.42,2023
MASS CARE LINK INC,8936884.14,2023
CITY OF BOSTON,8917920.3,2023
MAXI DRUG INC,8914036.59,2023
PARSONS HILL MA SNF LLC,8898340.29,2023
JEWISH NURSING HOME OF W MA,8887583.09,2023
ANNA JAQUES HOSPITAL,8841501.29,2023
PEDIATRIC SVS OF AMERICA INC,8663258.41,2023
MILTON HC OPERATING LLC,8650353.63,2023
HARVARD MEDICAL FACULTY PHYS,8641258.04,2023
CHELSEA JEWISH GREEN HOUSE INC,8542169.36,2023
SHERRILL HOUSE INC,8518318.6,2023
