vendor,amount,year
NONOTUCK RESOURCE ASSOCIATES INC,16579613.0,2024
NEW ENGLAND LONG-TERM CARE INC,15806756.17,2024
ELIOT COMMUNITY HUMAN SRVCS,15346284.35,2024
NEWTON-WELLESLEY HOSPITAL,15328882.26,2024
HOLYOKE HEALTH CENTER INC,15295721.3,2024
ACCREDO HEALTH GROUP INC,14921337.74,2024
GENOA HEALTHCARE LLC,14912210.51,2024
DENTAL SERVICE OF MASS INC,14895426.69,2024
WEC HEALTH LLC,14736647.31,2024
LOWELL COMMUNITY HEALTH CENTER INC,14630591.9,2024
BREWSTER AMBULANCE SERVICE INC,14470875.09,2024
BETH ISRAEL DEACONESS HOSP PLYMTH INC,14470330.7,2024
BIDMC PHARMACY INC,14463565.13,2024
"SMARTRONIX, LLC",14391488.1,2024
MELROSE WAKEFIELD HEALTHCARE INC,14258427.97,2024
BEACON HOSPICE LLC,14220932.38,2024
FENWAY COMMUNITY HEALTH CENTER,14186348.47,2024
MOUNT AUBURN HOSPITAL,13737658.13,2024
KOOL SMILES MAC PC,13724132.39,2024
MCINNIS CONSULTING SERVICES,13681158.62,2024
HOME AGAIN HEALTH CARE LLC,13640714.09,2024
COMMUNITY CONNECTIONS INC,13617931.56,2024
MARTHA'S VINEYARD HOSP INC,13339927.49,2024
"FAMILY HEALTH CENTER OF WORCESTER, INC.",13076235.26,2024
"VITRA HEALTH, INC",12777779.16,2024
HOLYOKE CARE CENTER LLC,12754333.33,2024
BRIGHAM & WOMENS FAULKNER HOSP INC,12663804.45,2024
HILLCREST EXT CARE SVS INC,12360288.26,2024
BETH ISRAEL HOSPITAL,12313148.0,2024
STURDY MEMORIAL HOSPITAL INC,12245309.83,2024
THE BOSTON HOME INC,12242409.48,2024
BRIDGEWELL INC,12223978.24,2024
WALGREEN EASTERN CO INC,12185287.28,2024
"EDWARD M. KENNEDY COM HLTH CTR, INC",11984737.58,2024
"WAL-MART STORES EAST, LP",11971347.52,2024
COMMUNITY HEALTH CONNECTIONS,11860928.94,2024
BAYSTATE FRANKLIN MED. CTR.,11849152.49,2024
"COMMUNITY HLTH CTR OF CAPE COD, INC.",11645351.86,2024
MASS EYE & EAR INFIRM,11558552.75,2024
VINFEN CORPORATION,11208181.56,2024
BRIGHAM AND WOMENS PHYSICIANS ORG INC,11170106.07,2024
TRUSTEES OF TUFTS COLLEGE,11090175.6,2024
MASS CARE LINK INC,10994230.45,2024
CATHOLIC MEMORIAL HOME,10908984.55,2024
HOLDEN NURSING HOME INC,10842067.26,2024
"BAYSTATE MEDICAL CENTER, INC.",10826889.51,2024
THE MAY INSTITUTE INC,10799313.73,2024
SEVEN HILLS FAMILY SRV INC,10650753.84,2024
"MORTON HOSP, A STEWARD FAMILY HOSP. INC",10639827.74,2024
MERCY LIFE INC,10424018.19,2024
ACCENTURE STATE HEALTHCARE SERVICES LLC,10347145.56,2024
CHELSEA JEWISH GREEN HOUSE INC,10213617.4,2024
CARE DIMENSIONS INC,10188341.61,2024
RHODE ISLAND HOSPITAL,10110086.97,2024
BAYSTATE MEDICAL PRACTICES,9993288.07,2024
INTERNATIONAL  HEALTH SOLUTIONS INC,9978120.82,2024
"MASSACHUSETTS MENTOR, LLC",9903042.6,2024
WORCESTER MA SNF LLC,9893233.38,2024
EMERSON HOSPITAL,9683498.76,2024
MARLBOROUGH HOSPITAL,9652289.06,2024
FALMOUTH HOSPITAL ASSOCIATION INC,9603714.52,2024
PRESTIGE ADULT FOSTER CARE LLC,9600192.82,2024
MILTON HC OPERATING LLC,9580425.23,2024
STOP & SHOP SUPERMARKET COMPANY,9563026.04,2024
SHORE EDUC COLLABORATIVE,9556383.6,2024
LOWN ACQUISITION LLC,9532631.81,2024
PEDIATRIC SVS OF AMERICA INC,9479962.75,2024
CARING HEALTH CENTER INC,9460160.3,2024
4499 ACUSHNET AVE OPERATING CO LLC,9386843.91,2024
BEAR MT WORCESTER LLC,9313455.93,2024
SHRIVER NURSING SERVICES INC,9287119.09,2024
COOLEY DICKINSON HOSP INC,9268251.09,2024
JEWISH NURSING HOME OF W MA,9244588.65,2024
CITY OF BOSTON,9222328.71,2024
OPTUM INFUSION SERVICES 550 LLC,9150657.29,2024
OXFORD MA SNF LLC,9149986.76,2024
OPEN SKY COMMUNITY SERVICES INC,9148921.85,2024
UMASS MEMORIAL HEALTH - HARRINGTON HOSP,9143873.39,2024
BEHAVIORAL HEALTH NETWORK INC,9114493.99,2024
RIVERSIDE COMMUNITY CARE INC,9045984.69,2024
FAIR HAVENS INC,9018066.6,2024
PLYMOUTH MA SNF LLC,8923994.78,2024
95 COMMERCIAL LLC,8868018.95,2024
PEOPLE INCORPORATED,8865662.24,2024
BAYADA HOME HEALTH CARE INC,8832658.02,2024
SHERRILL HOUSE INC,8816442.76,2024
"MARLBORO HILLS MA SNF, LLC",8790709.21,2024
BRENTWOOD OPERATOR LLC,8749269.5,2024
MAXI DRUG INC,8685345.44,2024
"ERNC OPERATING, LLC",8678326.08,2024
VARNUM OPS LLC,8642646.71,2024
"METROCARE OF SPRINGFIELD, LLC",8635015.56,2024
"SUNSHINE VILLAGE, INC.",8625877.77,2024
AMEGO INC,8621436.76,2024
BOSTON PUBLIC HEALTH COMMISSION,8468210.94,2024
BAYSTATE DENTAL PRACTICE LLC,8379854.58,2024
PARSONS HILL MA SNF LLC,8328989.37,2024
SOUTHCOAST PHYSICIANS GROUP INC,8286351.52,2024
"ACTIVE MA, INC",8276398.04,2024
"MRNC OPERATING, LLC",8268887.7,2024
AMHERST NURSING HOME INC,8195615.62,2024
OC AZURE OF WORCESTER CENTER LLC,8178067.16,2024
