vendor,amount,year
MERCER HEALTH & BENEFITS LLC,17499977.06,2025
MASS GENERAL PHYSICIAN ORG,17367584.3,2025
CARAHSOFT TECHNOLOGY CORPORATION,17318921.11,2025
"SMARTRONIX, LLC",17262265.17,2025
ACCREDO HEALTH GROUP INC,17130318.61,2025
NEW ENGLAND LONG-TERM CARE INC,16965952.87,2025
ADULT DAY HEALTH INC,16954363.27,2025
LIFESPAN OF MASSACH FALL RIVER,16763223.51,2025
CATALDO AMBULANCE SERVICE INC,16462741.87,2025
HOLYOKE CARE CENTER LLC,16034096.41,2025
HILLCREST EXT CARE SVS INC,15740695.29,2025
SPRINGFIELD FAMILY DENTAL PC,15540833.36,2025
"WAL-MART STORES EAST, LP",15522043.24,2025
HOME AGAIN HEALTH CARE LLC,15494502.73,2025
BMC COMMUNITY HOSPITAL CORPORATION,15420657.88,2025
"FAMILY HEALTH CENTER OF WORCESTER, INC.",15403308.14,2025
COMMUNITY CONNECTIONS INC,15166593.2,2025
HOLYOKE HEALTH CENTER INC,15068249.79,2025
BIDMC PHARMACY INC,14861274.18,2025
THE MAY INSTITUTE INC,14825213.67,2025
AMI EXPEDITIONARY HEALTHCARE LLC,14809432.79,2025
BEACON HOSPICE LLC,14749170.8,2025
IMPRUVON INC,14400000.0,2025
NEWTON-WELLESLEY HOSPITAL,14375016.87,2025
BRIGHAM & WOMENS FAULKNER HOSP INC,14364413.86,2025
"EDWARD M. KENNEDY COM HLTH CTR, INC",14337242.01,2025
INTERNATIONAL  HEALTH SOLUTIONS INC,14318652.25,2025
VINFEN CORPORATION,14314338.53,2025
MILFORD REGIONAL MEDICAL CENTER INC,14239490.96,2025
BMC COMMUNITY HOSPITAL CORPORATION II,14153211.29,2025
MASS CARE LINK INC,14108963.82,2025
BRIDGEWELL INC,14041299.98,2025
4499 ACUSHNET AVE OPERATING CO LLC,13779818.36,2025
KOOL SMILES MAC PC,13777053.89,2025
HEADING HOME INC,13657807.38,2025
LOWN ACQUISITION LLC,13451576.15,2025
ACCENTURE STATE HEALTHCARE SERVICES LLC,13416428.83,2025
BETH ISRAEL DEACONESS HOSP PLYMTH INC,13223439.36,2025
"LA COLABORATIVA, INC.",13205548.85,2025
LOWELL COMMUNITY HEALTH CENTER INC,13099566.12,2025
THE BOSTON HOME INC,13074859.06,2025
BAYADA HOME HEALTH CARE INC,12907087.41,2025
MOUNT AUBURN HOSPITAL,12802890.19,2025
STEWARD MEDICAL GROUP INC,12641800.79,2025
SHORE EDUC COLLABORATIVE,12516503.72,2025
COMMUNITY HEALTH CONNECTIONS,12465887.33,2025
WATERTOWN REHAB AND NURSING CENTER LLC,12232147.73,2025
BOSTON CHILDRENS HEALTH SOLUTIONS RX LLC,12191293.32,2025
NORTHEAST BEHAVIORAL HEALTH LLC,12174750.31,2025
BAYSTATE FRANKLIN MED. CTR.,12068134.52,2025
SHRIVER NURSING SERVICES INC,12052671.27,2025
"BAYSTATE MEDICAL CENTER, INC.",12031635.93,2025
CARE DIMENSIONS INC,11993506.0,2025
DENTAL BENEFIT MANAGEMENT INC,11923137.39,2025
ST PATRICK'S MANOR INC,11722763.55,2025
CHELSEA JEWISH GREEN HOUSE INC,11669107.09,2025
HOLDEN NURSING HOME INC,11591082.23,2025
AMEGO INC,11589403.99,2025
WORCESTER MA SNF LLC,11543967.91,2025
WALGREEN EASTERN CO INC,11489881.76,2025
CATHOLIC MEMORIAL HOME,11442654.36,2025
RHODE ISLAND HOSPITAL,11423133.12,2025
AMHERST NURSING HOME INC,11378911.77,2025
PRESTIGE ADULT FOSTER CARE LLC,11360692.7,2025
FENWAY COMMUNITY HEALTH CENTER,11309399.52,2025
"METROCARE OF SPRINGFIELD, LLC",11281145.71,2025
95 COMMERCIAL LLC,11137372.2,2025
BAYSTATE MEDICAL PRACTICES,11066485.84,2025
MERCY LIFE INC,10948230.47,2025
TRUSTEES OF TUFTS COLLEGE,10860700.85,2025
"VENTURE COMMUNITY SERVICES, INC",10767344.81,2025
FAIR HAVENS INC,10691871.97,2025
MASS EYE & EAR INFIRM,10653590.48,2025
MILTON HC OPERATING LLC,10651126.68,2025
CITY OF BOSTON,10579266.68,2025
DENTAL SERVICE OF MASS INC,10565843.91,2025
"ERNC OPERATING, LLC",10525281.89,2025
BRIGHAM AND WOMENS PHYSICIANS ORG INC,10440791.45,2025
SEVEN HILLS FAMILY SRV INC,10408813.91,2025
MELROSE WAKEFIELD HEALTHCARE INC,10279931.69,2025
UMASS MEMORIAL HEALTH - HARRINGTON HOSP,10267331.61,2025
"MASSACHUSETTS MENTOR, LLC",10252310.36,2025
PLYMOUTH MA SNF LLC,10203203.96,2025
SOUTHCOAST PHYSICIANS GROUP INC,10192001.17,2025
VIABILITY INC,10181130.53,2025
VARNUM OPS LLC,10165047.86,2025
STURDY MEMORIAL HOSPITAL INC,10015363.77,2025
D'YOUVILLE MNR LWLL MAINC,9990254.36,2025
JEWISH NURSING HOME OF W MA,9973922.75,2025
THE SPAULDING REHABILITATION HOSPITAL CO,9950092.98,2025
BRENTWOOD OPERATOR LLC,9927228.19,2025
OXFORD MA SNF LLC,9913354.01,2025
"HEALTH RESOURCES IN ACTION, INC.",9850136.22,2025
PARSONS HILL MA SNF LLC,9777593.5,2025
"MARLBORO HILLS MA SNF, LLC",9765206.65,2025
BOSTON PUBLIC HEALTH COMMISSION,9681497.33,2025
EMERSON HOSPITAL,9577805.91,2025
STOP & SHOP SUPERMARKET COMPANY,9558588.57,2025
BEAR MT WORCESTER LLC,9443673.63,2025
1748 HIGHLAND AVENUE OPERATOR LLC,9418130.08,2025
"ACTIVE MA, INC",9393411.92,2025
OPTUM INFUSION SERVICES 550 LLC,9386099.92,2025
HIGHLANDS MED INVESTORS LLC,9364747.74,2025
"SOUTHEAST MA SNF, LLC",9346050.89,2025
