rank,authorized_official,num_npis,total_spending,num_unique_addresses,different_addresses_flag,npi,org_name,dba,npi_spending,address,city,zip,auth_title
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1508089699,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,275000143.30,BERKSHIRE CM,PITTSFIELD,01201,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1790908002,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,249649772.08,HOLYOKE - CHICOPEE CM,HOLYOKE,01040,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1285758300,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,226031966.03,908 PURCHASE STREET,NEW BEDFORD,02740,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1003930256,COMMONWEALTH OF MASSACHUSETTS-DDS,<UNAVAIL>,218126934.60,305 PLEASANT STREET,FALL RIVER,02721,CFO
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1730302829,DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,204871239.76,FRANKLIN - HAMPSHIRE CM,NORTHAMPTON,01060,C F O
1,"MAILLET, JEANETTE",24,10608364152.51,24,YES,1780862193,MA DEPARTMENT OF DEVELOPMENTAL SERVICES,<UNAVAIL>,12082964.80,500 HARRISON AVE,BOSTON,021182439,CHIEF FINANCIAL OFFICER
2,"SPENCER, LARRY",7,6620437058.40,1,,1376609297,"TEMPUS UNLIMITED, INC.",,5571605313.00,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CHIEF EXECUTIVE OFFICER
2,"SPENCER, LARRY",7,6620437058.40,1,,1275752065,"TEMPUS UNLIMITED, INC.",,554866274.00,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CHIEF EXECUTIVE OFFICER
2,"SPENCER, LARRY",7,6620437058.40,1,,1164887808,"TEMPUS UNLIMITED, INC.",,290808661.47,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CEO
2,"SPENCER, LARRY",7,6620437058.40,1,,1609096791,"TEMPUS UNLIMITED, INC.",,113207483.58,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CHIEF EXECUTIVE OFFICER
2,"SPENCER, LARRY",7,6620437058.40,1,,1568895316,"TEMPUS UNLIMITED, INC.",,62898561.82,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CEO
2,"SPENCER, LARRY",7,6620437058.40,1,,1255623716,"TEMPUS UNLIMITED, INC.",,26342887.67,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CEO
2,"SPENCER, LARRY",7,6620437058.40,1,,1972905966,"TEMPUS UNLIMITED, INC.",,707876.86,600 TECHNOLOGY CENTER DR,STOUGHTON,020724708,CEO
3,"DERIN, SEREN",4,1207128453.15,1,,1518098359,"STAVROS CENTER FOR INDEPENDENT LIVING, INC.",,1037216238.40,210 OLD FARM RD,AMHERST,010022704,FISCAL DIRECTOR
3,"DERIN, SEREN",4,1207128453.15,1,,1801927645,"STAVROS CENTER FOR INDEPENDENT LIVING, INC.",,146352462.47,210 OLD FARM RD,AMHERST,010022704,FISCAL DIRECTOR
3,"DERIN, SEREN",4,1207128453.15,1,,1114053188,"STAVROS CENTER FOR INDEPENDENT LIVING, INC.",,23415421.54,210 OLD FARM RD,AMHERST,010022704,FISCAL DIRECTOR
3,"DERIN, SEREN",4,1207128453.15,1,,1477894566,STAVROS CENTER FOR INDEPENDENT LIVING,,144330.74,210 OLD FARM RD,AMHERST,010022704,FISCAL DIRECTOR
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1992920417,"NORTHEAST ARC, INC.",<UNAVAIL>,733082656.72,64 HOLTEN ST,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1942424692,"NORTHEAST ARC, INC.",<UNAVAIL>,37358767.01,64 HOLTEN ST,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1871702266,"NORTHEAST ARC, INC.",<UNAVAIL>,19558002.59,64 HOLTEN ST,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1912030917,"NORTHEAST ARC, INC.",<UNAVAIL>,16537444.31,64 HOLTEN STREET,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1649480351,"NORTHEAST ARC, INC.",<UNAVAIL>,4709436.78,64 HOLTEN ST,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1598980005,"NORTHEAST ARC, INC.",<UNAVAIL>,2071282.32,64 HOLTEN ST,DANVERS,019231973,CFO
4,"PENNIMAN, GARY",7,815076632.82,3,YES,1427205202,"NORTHEAST ARC, INC.",<UNAVAIL>,1759043.09,22 FOSTER ST,PEABODY,019605506,CFO
5,"HOLLENBERG, ANTHONY",2,768494465.08,2,YES,1346218294,BOSTON MEDICAL CENTER CORPORATION,,768481072.41,1 BOSTON MEDICAL CTR PL,BOSTON,021182908,PRESIDENT
5,"HOLLENBERG, ANTHONY",2,768494465.08,2,YES,1417290131,BOSTON MEDICAL CENTER CORPORATION,,13392.67,725 ALBANY STREET,BOSTON,021182526,PRESIDENT
6,"MELGAR, SERGIO",2,491066099.31,2,YES,1831151455,"UMASS MEMORIAL MEDICAL CENTER, INC.",,491010298.61,55 LAKE AVENUE,WORCESTER,01655,EVP/CFO
6,"MELGAR, SERGIO",2,491066099.31,2,YES,1689760092,"UMASS MEMORIAL MEDICAL CENTER, INC.",,55800.70,55 LAKE AVE N,WORCESTER,016550002,EVP/CFO
7,"MARTIN, LAURIE",2,374622622.79,2,YES,1487655064,BAYSTATE MEDICAL CENTER INC,<UNAVAIL>,374467033.51,759 CHESTNUT ST,SPRINGFIELD,011991001,CHIEF FINANCIAL OFFICER
7,"MARTIN, LAURIE",2,374622622.79,2,YES,1972936623,"BAYSTATE MEDICAL CENTER, INC.",<UNAVAIL>,155589.28,3300 MAIN ST,SPRINGFIELD,011071112,CHIEF FINANCIAL OFFICER
8,"STEPHEN, NICOLE",2,361609777.37,1,,1487603585,CAMBRIDGE PUBLIC HEALTH COMMISSION,<UNAVAIL>,352571667.32,1493 CAMBRIDGE ST,CAMBRIDGE,021391047,INTERIM DIRECTOR MEDICAL STAFF SRV
8,"STEPHEN, NICOLE",2,361609777.37,1,,1932313228,CAMBRIDGE PUBLIC HEALTH COMMISSION,<UNAVAIL>,9038110.05,1493 CAMBRIDGE ST,CAMBRIDGE,021391047,INTERIM DIRECTOR MEDICAL STAFF SRV.
9,"CHURCHWELL, KEVIN",2,332622194.66,1,,1710087127,CHILDREN'S HOSPITAL CORPORATION,<UNAVAIL>,330793079.99,300 LONGWOOD AVE,BOSTON,021155724,PRESIDENT AND CEO
9,"CHURCHWELL, KEVIN",2,332622194.66,1,,1558467977,CHILDREN'S HOSPITAL AMBULANCE AN INC DIV OF THE CHILDRENS HOSP CORP,<UNAVAIL>,1829114.67,300 LONGWOOD AVE,BOSTON,021155737,PRESIDENT AND CEO
10,"GRIGG, WILLIAM",3,296664770.44,3,YES,1447275037,"SOUTHCOAST HOSPITALS GROUP, INC",<UNAVAIL>,172795577.18,101 PAGE ST,NEW BEDFORD,027403464,EXECUTIVE VICE PRESIDENT & CFO
10,"GRIGG, WILLIAM",3,296664770.44,3,YES,1306871223,"SOUTHCOAST HOSPITALS GROUP, INC",<UNAVAIL>,97652683.22,363 HIGHLAND AVE,FALL RIVER,027203703,EXECUTIVE VICE PRESIDENT & CFO
10,"GRIGG, WILLIAM",3,296664770.44,3,YES,1922024835,"SOUTHCOAST HOSPITALS GROUP, INC",<UNAVAIL>,26216510.04,43 HIGH ST,WAREHAM,025712097,EXECUTIVE VICE PRESIDENT & CFO
11,"MORASH, DANIEL",3,295969188.10,2,YES,1790717650,"BRIGHAM & WOMENS HOSPITAL, INC.",,252584159.89,75 FRANCIS ST,BOSTON,021156110,CFO
11,"MORASH, DANIEL",3,295969188.10,2,YES,1033535497,BRIGHAM & WOMENS PHYSICIANS ORGANIZATION INC,,43384272.60,75 FRANCIS ST,BOSTON,021156110,CFO
11,"MORASH, DANIEL",3,295969188.10,2,YES,1902469679,BRIGHAM & WOMEN'S PHYSICIANS ORGANIZATION INC,,755.61,20 PROSPECT ST,MILFORD,017573026,CFO
12,"BHOGADI, SATISH",2,270281906.89,2,YES,1548202641,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC.",,270281399.95,330 BROOKLINE AVE,BOSTON,022155400,CHIEF FINANCIAL OFFICER
12,"BHOGADI, SATISH",2,270281906.89,2,YES,1568880110,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC",<UNAVAIL>,506.94,200 BOYLSTON ST,CHESTNUT HILL,024672012,CHIEF FINANCIAL OFFICER
13,"HUBACZ, SEAN",3,247817343.59,1,,1578683694,"MYSTIC VALLEY ELDER SERVICES, INC.",,222949564.42,300 COMMERCIAL ST STE 19,MALDEN,021487311,DIRECTOR OF FINANCE
13,"HUBACZ, SEAN",3,247817343.59,1,,1922127935,"MYSTIC VALLEY ELDER SERVICES, INC.",,23974316.67,300 COMMERCIAL ST STE 19,MALDEN,021487311,DIRECTOR OF FINANCE
13,"HUBACZ, SEAN",3,247817343.59,1,,1093842809,MYSTIC VALLEY ELDER SERVICES,,893462.50,300 COMMERCIAL ST STE 19,MALDEN,021487311,DIRECTOR OF FINANCE
14,"DEMBINSKI, PAUL",3,245046551.11,3,YES,1851333686,"DANA-FARBER CANCER INSTITUTE, INC.",<UNAVAIL>,240209148.81,450 BROOKLINE AVE,BOSTON,022155418,SR. DIRECTOR OF PFS
14,"DEMBINSKI, PAUL",3,245046551.11,3,YES,1346433257,"DANA-FARBER CANCER INSTITUTE, INC.",<UNAVAIL>,4813412.68,75 FRANCIS ST,BOSTON,021156110,SENIOR DIRECTOR OF PFS
14,"DEMBINSKI, PAUL",3,245046551.11,3,YES,1225079940,"DANA-FARBER CANCER INSTITUTE, INC.",<UNAVAIL>,23989.62,44 BINNEY STREET,BOSTON,02115,SR. DIRECTOR OF PFS
15,"RENNA, JAMES",12,235863980.76,8,YES,1033421664,"STEWARD HOLY FAMILY HOSPITAL, INC.",,70802783.86,70 EAST ST,METHUEN,018444597,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1881906337,"STEWARD GOOD SAMARITAN MEDICAL CENTER, INC.",,64100633.93,235 N PEARL ST,BROCKTON,023011794,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1427360981,"STEWARD CARNEY HOSPITAL, INC.",,56763201.01,2100 DORCHESTER AVE,DORCHESTER CENTER,021245615,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1720390289,"STEWARD ST. ELIZABETH'S MEDICAL CENTER OF BOSTON, INC.",,32530762.44,736 CAMBRIDGE ST,BOSTON,021352907,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1952613416,"STEWARD NORWOOD HOSPITAL, INC.",,8470330.41,800 WASHINGTON ST,NORWOOD,020623487,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1992018782,"STEWARD ST. ELIZABETH'S MEDICAL CENTER OF BOSTON, INC.",<UNAVAIL>,1902649.30,736 CAMBRIDGE ST,BOSTON,021352907,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1336452010,"STEWARD HOLY FAMILY HOSPITAL, INC.",<UNAVAIL>,1063598.28,70 EAST ST,METHUEN,018444597,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1851646087,"NEW ENGLAND SINAI HOSPITAL, A STEWARD FAMILY HOSPITAL, INC.",,135740.93,150 YORK STREET,STOUGHTON,020729105,CFO
15,"RENNA, JAMES",12,235863980.76,8,YES,1609189380,"STEWARD CARNEY HOSPITAL, INC.",<UNAVAIL>,51555.58,2100 DORCHESTER AVE,DORCHESTER CENTER,021245615,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1164735957,"STEWARD GOOD SAMARITAN MEDICAL CENTER, INC.",<UNAVAIL>,28584.00,235 N PEARL ST,BROCKTON,023011794,CHIEF FINANCIAL OFFICER
15,"RENNA, JAMES",12,235863980.76,8,YES,1912286220,"MORTON HOSPITAL, A STEWARD FAMILY HOSPITAL, INC.",<UNAVAIL>,10759.32,2007 BAY ST,TAUNTON,027801086,EVP/CFO
15,"RENNA, JAMES",12,235863980.76,8,YES,1629381413,STEWARD ST. ANNE'S HOSPITAL CORPORATION,<UNAVAIL>,3381.70,795 MIDDLE ST,FALL RIVER,027211733,CHIEF FINANCIAL OFFICER
16,"ELLIS, SHERRY",2,225792062.04,2,YES,1487608485,"SPECTRUM HEALTH SYSTEMS, INC",,187394552.63,585 LINCOLN ST,WORCESTER,016051906,CHIEF OPERATING OFFICER
16,"ELLIS, SHERRY",2,225792062.04,2,YES,1689693343,"STANLEY STREET TREATMENT AND RESOURCES, INC.",<UNAVAIL>,38397509.41,386 STANLEY ST,FALL RIVER,027206009,CHIEF EXECUTIVE OFFICER
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1588662449,EPIC HEALTH SERVICES INC,<UNAVAIL>,50057202.21,67 MILLBROOK ST STE 405,WORCESTER,016062845,CFO
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1619908985,"PEDIATRIC SERVICES OF AMERICA, LLC",<UNAVAIL>,47835398.91,1324 BELMONT ST STE 204-205,BROCKTON,023014435,CFO
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1427225523,"PEDIATRIA HEALTHCARE, LLC",<UNAVAIL>,47758830.09,175 HIGHLAND AVE STE 401,NEEDHAM,024943034,CFO
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1912055732,"PEDIATRIC SERVICES OF AMERICA, LLC",<UNAVAIL>,28961811.21,67 MILLBROOK ST STE 401,WORCESTER,016062845,CFO
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1770972853,"PEDIATRIC SERVICES OF AMERICA, LLC",<UNAVAIL>,21881044.75,116 LONG POND RD,PLYMOUTH,023602663,CFO
17,"BUCKHALTER, MATTHEW",6,211054954.49,6,YES,1881833259,"ANDVENTURE, LLC",<UNAVAIL>,14560667.32,354 BIRNIE AVE STE 401,SPRINGFIELD,011071108,CFO
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1295765261,"BERKSHIRE MEDICAL CENTER, INC",,150130540.82,725 NORTH ST,PITTSFIELD,012014109,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1730112251,FAIRVIEW HOSPITAL,,17673252.20,29 LEWIS AVE,GREAT BARRINGTON,012301713,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1275086746,"BERKSHIRE MEDICAL CENTER, INC",<UNAVAIL>,15352284.66,48 KENT AVE,PITTSFIELD,01201,CFO
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1548212939,BERKSHIRE FACULTY SERVICES INC,,13128534.99,725 NORTH ST,PITTSFIELD,01201,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1639737042,FAIRVIEW HOSPITAL,<UNAVAIL>,3503669.29,71 HOSPITAL AVE,NORTH ADAMS,012472504,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1205948973,"BERKSHIRE MEDICAL CENTER, INC.",<UNAVAIL>,3097405.28,165 TOR CT,PITTSFIELD,012013001,CFO
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1124686530,FAIRVIEW HOSPITAL,<UNAVAIL>,2820274.75,197 ADAMS RD,WILLIAMSTOWN,012672930,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1881252286,FAIRVIEW HOSPITAL,<UNAVAIL>,1953352.86,780 MAIN ST,GREAT BARRINGTON,012302148,CHIEF FINANCIAL OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1235670316,"BERKSHIRE MEDICAL CENTER, INC",<UNAVAIL>,639000.76,71 HOSPITAL AVE,NORTH ADAMS,012472504,CFO
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1437839669,NORTH ADAMS REGIONAL HOSPITAL CORPORATION,,305897.05,71 HOSPITAL AVE,NORTH ADAMS,012472504,CHIEF EXECUTIVE OFFICER
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1952781197,BHS URGENT CARE CENTER,,125697.59,505 EAST ST,PITTSFIELD,012015761,CFO
18,"RODOWICZ, DARLENE",12,208734230.80,8,YES,1659436996,"BERKSHIRE MEDICAL CENTER, INC.",,4320.55,725 NORTH ST,PITTSFIELD,012014109,CHIEF FINANCIAL OFFICER
19,"BONTEMPS, EVENS",3,207251048.81,1,,1629282272,"CENTRAL BOSTON ELDER SERVICES, INC.",,186664285.68,2315 WASHINGTON ST,ROXBURY,021193214,ACCOUNTING MANAGER
19,"BONTEMPS, EVENS",3,207251048.81,1,,1235343823,"CENTRAL BOSTON ELDER SERVICES, INC.",,11052331.22,2315 WASHINGTON ST,ROXBURY,021193214,ACCOUNTING MANAGER
19,"BONTEMPS, EVENS",3,207251048.81,1,,1679609663,"CENTRAL BOSTON ELDER SERVICES, INC.",,9534431.91,2315 WASHINGTON ST,ROXBURY,021193214,ACCOUNTING MANAGER
20,"BETZ, DAVID",8,200139780.85,8,YES,1194062448,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,199858546.90,200 FOREST ST,MARLBOROUGH,017523023,DIRECTOR
20,"BETZ, DAVID",8,200139780.85,8,YES,1588907760,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,216721.14,10 GOVE ST,EAST BOSTON,021280000,DIRECTOR
20,"BETZ, DAVID",8,200139780.85,8,YES,1043553225,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,32187.43,129 BORDER ST,EAST BOSTON,021280000,DIRECTOR
20,"BETZ, DAVID",8,200139780.85,8,YES,1245730589,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,22313.04,1 PEARL ST,BROCKTON,023012864,"DIRECTOR, FINANCE"
20,"BETZ, DAVID",8,200139780.85,8,YES,1093733057,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,5789.22,909 SUMNER ST BSMT,STOUGHTON,020723396,DIRECTOR
20,"BETZ, DAVID",8,200139780.85,8,YES,1902390628,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,3247.27,69 CAMP ST,HYANNIS,026013046,MANAGER
20,"BETZ, DAVID",8,200139780.85,8,YES,1508306747,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,959.61,366 SHREWSBURY ST,WORCESTER,016044647,REGIONAL FINANCE DIRECTOR
20,"BETZ, DAVID",8,200139780.85,8,YES,1104844158,QUEST DIAGNOSTICS MASSACHUSETTS LLC,,16.24,630 PLANTATION ST,WORCESTER,016052038,DIRECTOR
21,"GREEN, SUSAN",5,199237219.75,4,YES,1407804669,THE LOWELL GENERAL HOSPITAL,<UNAVAIL>,159906582.74,295 VARNUM AVE,LOWELL,018542134,EVP CHIEF FINANCIAL OFFICER
21,"GREEN, SUSAN",5,199237219.75,4,YES,1841290467,"MELROSEWAKEFIELD HEALTHCARE, INC.",,37820297.59,170 GOVERNORS AVE,MEDFORD,021551643,EVP CHIEF FINANCIAL OFFICER
21,"GREEN, SUSAN",5,199237219.75,4,YES,1952695884,"LGH MERRIMACK VALLEY CARDIOLOGY ASSOCIATES, LLC",,1480518.82,14 RESEARCH PL,NORTH CHELMSFORD,018632412,CFO
21,"GREEN, SUSAN",5,199237219.75,4,YES,1013983287,DO NOT USE - THE LOWELL GENERAL HOSPITAL,<UNAVAIL>,25500.83,1 HOSPITAL DR,LOWELL,018521311,CFO
21,"GREEN, SUSAN",5,199237219.75,4,YES,1891835351,"MELROSEWAKEFIELD HEALTHCARE, INC.",,4319.77,170 GOVERNORS AVE,MEDFORD,021551643,EVP CHIEF FINANCIAL OFFICER
22,"POND, ANDY",4,195263620.82,4,YES,1093787095,"JUSTICE RESOURCE INSTITUTE, INC",<UNAVAIL>,185795247.73,380 MASSACHUSETTS AVE,ACTON,017203743,PRESIDENT
22,"POND, ANDY",4,195263620.82,4,YES,1639210966,"JUSTICE RESOURCE INSTITUTE, INC",<UNAVAIL>,6118418.17,249 N PLAIN RD,HOUSATONIC,012369736,PRESIDENT
22,"POND, ANDY",4,195263620.82,4,YES,1225179567,JUSTICE RESOURCE INSTITUTE,<UNAVAIL>,3233475.31,180 TURNPIKE RD,WESTBOROUGH,015812829,PRESIDENT
22,"POND, ANDY",4,195263620.82,4,YES,1336284207,"JUSTICE RESOURCE INSTITUTE, INC",<UNAVAIL>,116479.61,270 HUNTINGTON AVE,BOSTON,021154605,PRESIDENT
23,"DONELLON, KARA",4,193088269.05,1,,1184758310,SPRINGWELL,,153840065.58,125 WALNUT ST,WATERTOWN,024724052,DIRECTOR OF FINANCE
23,"DONELLON, KARA",4,193088269.05,1,,1720123888,"SPRINGWELL, INC",,38590694.89,125 WALNUT ST,WATERTOWN,024724052,DIRECTOR OF FINANCE
23,"DONELLON, KARA",4,193088269.05,1,,1003134875,SPRINGWELL,,553368.99,125 WALNUT ST,WATERTOWN,024724052,DIRECTOR OF FINANCE
23,"DONELLON, KARA",4,193088269.05,1,,1134243785,SPRINGWELL,,104139.59,125 WALNUT ST,WATERTOWN,024724052,DIRECTOR OF FINANCE
24,"HARRIS, JAMES",9,187951646.95,6,YES,1043204316,THE MERCY HOSPITAL INC,<UNAVAIL>,98916599.14,271 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1841651197,"RIVERBEND MEDICAL GROUP, INC.",<UNAVAIL>,38702771.73,271 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1942226006,"SYSTEM COORDINATED SERVICES, INC",<UNAVAIL>,18543340.71,299 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1093709370,BRIGHTSIDE INC,,11406370.22,300 STAFFORD ST STE 305,SPRINGFIELD,011043500,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1629062906,THE MERCY HOSPITAL INC,<UNAVAIL>,10927590.40,1233 MAIN ST,HOLYOKE,01040,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1407845282,MERCY INPATIENT MEDICAL ASSOCIATES INC.,<UNAVAIL>,6960117.59,271 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1346511243,"PIONEER VALLEY CARDIOLOGY ASSOCIATES, INC",,1314025.26,300 STAFFORD ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1316213143,"MERCY MEDICAL GROUP, INC.",<UNAVAIL>,1080194.12,271 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
24,"HARRIS, JAMES",9,187951646.95,6,YES,1558500462,MERCY SPECIALIST PHYSICIANS INC,<UNAVAIL>,100637.78,300 CAREW ST,SPRINGFIELD,01104,REGIONAL DIRECTOR OF REIMBURSEMENT
