rank,address,city,zip,num_npis,total_paid,total_claims,num_unique_codes,num_auth_officials,same_auth_flag,entity_names,auth_officials
346,1284 SOLDIERS FIELD ROAD,BRIGHTON,02135,2,8477316.40,111122,4,2,,"VCARE LLC dba <UNAVAIL> | ADULT DAY HEALTH, INC. dba <UNAVAIL>",OLGA ROD | WILLIAM DUFFY
347,933 PLEASANT STREET,FALL RIVER,02723,5,8461875.52,181839,40,2,,"HATHAWAY ROAD DENTAL, PC dba <UNAVAIL> | SABINA MALLA | EYE HEALTH ASSOCIATES INC | BRITTANY FRERE | ALLISON JANG",MICHELLE JACOMINO | ROBERT LAMONT
348,12 WOOD ST,LOWELL,018511532,2,8315577.20,150600,18,1,YES,"SEEMA GUPTA | ELM TREE CLINIC, LLC",VICTOR TOROSYAN
349,799 CONCORD AVE,CAMBRIDGE,021381048,8,8290105.39,161541,43,6,,"CAMBRIDGE MEDICAL SUPPLY INC | DEBORAH JAMES | DVA HEALTHCARE OF MASSACHUSETTS INC dba <UNAVAIL> | SHARED DIAGNOSTIC SERVICES, INC | ROBERT ROSENBERG | SANCTA MARIA HOSPITAL, INC. dba <UNAVAIL> | NEW ENGLAND AMBULATORY SURGICENTER, LLC | CHILDREN'S GARDEN PEDIATRICS, LLC",FREDERICK INGRAM | TIMOTHY HOFFMAN | THOMAS GOMES | JANE STEINBERG | SAMUEL WEY | DEBORAH JAMES
350,444 MYRTLE ST,NEW BEDFORD,027461682,2,8284561.32,93034,6,1,YES,"LIFESTREAM, INC | LIFESTREAM, INC",JOHN LATAWIEC
351,629 SALISBURY ST,WORCESTER,016091120,2,8215215.86,76945,8,1,YES,"JEWISH HEALTHCARE CENTER, INC. dba <UNAVAIL> | JEWISH HEALTHCARE CENTER INC. dba <UNAVAIL>",STEVEN WILLENS
352,545 WESTMINSTER ST,FITCHBURG,014204727,2,8132883.47,83514,16,1,YES,LUK CRISIS CENTER INC. | ROBERT SHAPIRO,LOIS BARRY
353,67 CODDINGTON ST,QUINCY,02169,4,8076597.82,174386,20,3,,"STEPHEN DUBIN | ERIC R COHEN MD PC | ALLIED HOME HEALTH CARE, INC. | QUINCY HIGH CARE DENTISTRY",EMMANUEL UGOCHA | ERIC COHEN | MOATAZ SHABAN
354,435 SHREWSBURY ST,WORCESTER,01604,14,8004210.00,111206,15,1,YES,ERIK NELSON | RODNEY COURNOYER | BEHAVIORAL HEALTHCARE SERVICES | SHERRIE URENA | YONIDE LARECHE | EDWARD TIMINSKI | KEVIN NARDONE | GEENA NOVINSKY | GRACE NGUMI | OROBOSA OSAWONUYI | HADIZA ABUBAKAR | MISPA SANGO | STEPHANIE PARENT | KELLY RIVERA,AMJAD BAHNASSI
355,384 WASHINGTON ST,NORWELL,020612010,4,7918693.75,123345,22,2,,"ARBOUR ELDER SERVICES, INC. dba <UNAVAIL> | HRI CLINICS INC dba <UNAVAIL> | THERESE GORETTI | SARAH REGO",JOHN FLETCHER | STEVE FILTON
356,382 N MAIN ST,EAST LONGMEADOW,010281828,2,7861874.76,64535,15,2,,"FACIAL COSMETIC & MAXILLOFACIAL SURGERY P.C. | SLEEP MANAGEMENT SOLUTIONS, LLC",THOMAS GAFFNEY | RICHARD FRAZIERO
357,375 WESTGATE DR,BROCKTON,023011818,2,7831158.34,243101,48,2,,BROCKTON RECOVERY MEDICAL ASSOCIATES PC | BROCKTON DIALYSIS CENTER LLC,SARA BRADY | XAVIER CABAN
358,304 PLEASANT ST,BROCKTON,023013234,2,7819456.27,152667,28,2,,"EFRAIN S. RUIZ | MARIA L SEGURA DMD, PC",EFRAIN RUIZ | KATHLEEN ANTONELLI
359,288 LYMAN ST,WESTBOROUGH,015812633,2,7805042.63,7222,5,1,YES,ABIGAIL PERHAM | COMMONWEALTH OF MASSACHUSETTS-DMH dba <UNAVAIL>,OSWALD RAMBARRAN
360,1968 CENTRAL AVE,NEEDHAM,024921410,3,7739194.22,64303,11,1,YES,"WALKER, INC. dba <UNAVAIL> | ANDREA SAWYER | JENNIFER MEYERHARDT",SCOTT PRESTON
361,57 PROSPECT ST,NANTUCKET,025542799,6,7690747.73,200427,186,4,,"TIMOTHY LEPORE | NANTUCKET COTTAGE HOSPITAL | DIANE PEARL | NANTUCKET PHYSICIANS ORGANIZATION | NANTUCKET ANESTHESIA ASSOCIATES,PC | NANTUCKET COTTAGE HOSPITAL dba <UNAVAIL>",WAYNE WILBUR | AARON FISHMAN | JENNIFER MONTO | NANCY PITTMAN
362,1210 BOSTON PROVIDENCE TPKE,NORWOOD,020625061,5,7661707.93,177816,55,1,YES,"CHRISTOPHER FRIES | YUSEF HAJ-DARWISH | WOONSOCKET URGENT CARE, PC dba <UNAVAIL> | GRETCHEN PLATT | SCOTT COLLORONE",PAUL VALLERA
363,1 KNEELAND ST,BOSTON,021111527,9,7659035.95,100547,55,2,,TRUSTEES OF TUFTS COLLEGE dba <UNAVAIL> | TUFTS UNIVERSITY dba <UNAVAIL> | OLUWAKARE OPANEYE | RAY ENGLISH | DEREK LEUNG | HANI HANNA | NATALIA MUNOZ GUADALUPE | ANJANA SRIKURUWAN | RANMEEK KAUR,BETH CONANT | LISA GATELY
364,68 STAFFORD ST,WORCESTER,016031450,2,7631937.72,237334,31,1,YES,DENTAL DREAMS LLC | PAYAL PATEL,SAMEERA HUSSAIN
365,3 MERIDIAN STREET,EAST BOSTON,021281928,2,7360923.98,78469,32,1,YES,NICHOLAS R FRANCO JR DMD PC dba <UNAVAIL> | DONALD FELDMAN,NICHOLAS FRANCO
366,281 E HARTFORD AVE,UXBRIDGE,015691278,17,7257901.49,120146,104,1,YES,SAFDAR MEDINA | JEFFREY LUKAS | BRUCE ROSEN | NICOLINA CORDARO | KAREN PETERSON | MAURA LUCAS | TRI RIVER FAMILY HEALTH CENTER | ANDREW SIBER | ERIC MATTHEWS | ROBERT POLLITT | MARGRET CHANG | MARIA PATRICIA MIRANDA | JENNIFER PRINCE | THI HONG VAN DO | CHIAKI NAKATA | MOLLY CAIN | DAVID GEYER,WILLIAM MULLER
367,298 WASHINGTON ST,GLOUCESTER,019304832,14,7196183.43,204374,112,2,,"BRIAN ORR | THOMAS CARBONE | JEFFREY STOCKMAN | NEIL KOBROSKY | MICHAEL ARSENIAN | ZAVEN JOUHOURIAN | VICTOR CARABBA | BETH ISRAEL LAHEY HEALTH SPECIALTY CARE, INC. | AMY ESDALE | MARC MESSIER | CAPE ANN PEDIATRICIANS | KAREN DAMICO | MARY CAPOBIANCO-KORPI | ANN OLSON",CHRISTINE ALLEN | ALEX BARKER
368,23 N PEARL ST,BROCKTON,023011707,3,7179635.26,119618,17,1,YES,DAVID GOULD | EPIC NURSING SERVICES LLC | EPIC NURSING SERVICES LLC,LEONARD THUO
369,2007 BAY ST,TAUNTON,027801086,6,7174248.59,206967,71,4,,"PEDIATRIC ASSOCIATES AT NORTHWOODS | ALLERGY & ASTHMA CARE PC | MARIA MOLINA | GLEN WHEELER | TRUSTEES OF TUFTS UNIVERSITY dba <UNAVAIL> | MORTON HOSPITAL, A STEWARD FAMILY HOSPITAL, INC. dba <UNAVAIL>",FRANK TOMASE | DONALD ACCETTA | JOHN MORGAN | JAMES RENNA
370,49 HILLSIDE ST,FALL RIVER,027205211,5,7162316.64,15912,12,2,,THE COMMONWEALTH OF MASSACHUSETTS dba <UNAVAIL> | THE COMMONWEALTH OF MASSACHUSETTS dba <UNAVAIL> | COMMONWEALTH OF MASSACHUSETTS-DMH dba <UNAVAIL> | ELIANE COSTA | TRESSA ROGERS,STEVEN FIGUEIREDO | LYNNE OLSEN-VIEIRA
371,607 NORTH AVE,WAKEFIELD,018801322,5,7061336.62,59405,12,3,,"GLENN DADDARIO | HOW'S WORK, INC. | HD PHYSICAL THERAPY LLC | NEW ENGLAND ABA, INC. | SAMANTHA LOVINS",GLENN DADDARIO | TIMOTHY SULLIVAN | PAMELA ABERNATHY
372,459 BROADWAY,EVERETT,021493614,4,6938916.02,127635,27,4,,"EVERETT FOOT CARE PC | EVERETT DENTAL MANAGEMENT CO. dba <UNAVAIL> | BEST HEALTHCARE SERVICES INC | EVERETT FAMILY DENTAL, PC",JOANNE TAVANO | OSILAMA OSIME | EKATERINA MAMULASHILI | ROBERT MEDAGLIO
373,90 RIVER ST,MATTAPAN,021262975,3,6863815.74,139529,45,1,YES,"RANDAL COLE | NAIJIE GUAN | NEW ENGLAND FAMILY DENTISTRY, PC dba <UNAVAIL>",TODD PACHELLO
374,439 S UNION ST UNIT 2104,LAWRENCE,018432800,2,6779062.05,84476,8,1,YES,MARIA FERRERAS-MENDEZ | FERRERAS COUNSELING LLC,MARIA FERRERAS
375,500 FAUNCE CORNER RD,N DARTMOUTH,027471278,4,6768750.23,168104,31,2,,SCOTT CORIN | JOHN DADAH | ADVANCED EYE SURGERY CENTER | ADVANCED EYE CENTERS INC,PAUL ABRANTES | GINA MOCO
376,121 HARVARD AVE,ALLSTON,021342702,2,6628556.15,64562,9,1,YES,"ART OF CARE, INC. | FRIENDLY CARE, INC.",BORIS YABLONOVSKY
377,40 INDUSTRIAL PARK RD,PLYMOUTH,023604884,2,6616702.22,7691,8,2,,POST OCONNOR & KADRMAS EYE CENTERS P C dba <UNAVAIL> | COMMONWEALTH OF MASSACHUSETTS-DMH dba <UNAVAIL>,KATHLEEN MURPHY | LINDA LUNDIN
378,710 MAIN ST,HARWICH PORT,026461931,2,6594065.57,69638,69,1,YES,"OUTER CAPE HEALTH SERVICES, INC. dba <UNAVAIL> | MICHAEL SZUCIAK",DAMIAN ARCHER
379,150 LOWER WESTFIELD RD,HOLYOKE,010402676,12,6583987.60,194875,72,2,,"JACQUELINE PLEET | PATRICIA PETROSKY | HOLYOKE PEDIATRIC ASSOCIATES, LLP | VICTORIA PILLARD | LESLEY MUGFORD | DAVID GOTTSEGEN | DAVID BOGAN | PAULA CONDON | PEGGY CHIEN | DAVID NORTON | SCOTT LEMME | HOLYOKE FAMILY DENTISTRY PC",NAYAKI GADDIPATI | DEBRA DUQUETTE
380,77 HOSPITAL AVE,NORTH ADAMS,012472550,12,6581068.35,178230,111,3,,"CHILDS ART | KATHRYN WISEMAN | CHI ZHANG | JENNIFER DEGRENIER | ROBERT VANUITERT | ROBERT L. VAN UITERT, M.D., P.C. | NORTHERN BERKSHIRE PEDIATRICS, LLP | DOROTHY MADSEN | EIMEAR O'LOUGHLIN | CHRISTIAN SUPPORT & HEALING MINISTRIES INC dba <UNAVAIL> | TIMOTHY BRIGGS | AMANDA EGAN POIRIER",OLUGBENGA AKINSANYA | SUSAN KING | ROBERT VAN UITERT
381,11 UNION ST,LAWRENCE,018401815,3,6527573.05,16662,2,2,,"THE PSYCHOLOGICAL CENTER, INC. | RICHARD FRANCIS | THERAPEIA, LLC",JOSEPH COTTON | RICHARD FRANCIS
382,49 HARRY KEMP WAY,PROVINCETOWN,026571618,4,6489751.45,87289,84,1,YES,"OUTER CAPE HEALTH SERVICES, INC. | SUSAN RODERICK | MATTHEW ABAR | MARWA ELLEBOUDY",DAMIAN ARCHER
383,24 PARK ST,ATTLEBORO,027032338,3,6394373.95,76485,10,1,YES,"NEW ENGLAND CENTER FOR PSYCHIATRIC AND ADDICTION DISORDERS, LLC | DEIRDRE CALLAHAN | MADELEINE VERDOLINO",ILEANA BERMAN
384,2 JAN SEBASTIAN DR,SANDWICH,025632377,2,6297503.24,99183,34,2,,CAPE COD PET/CT SERVICES LLC | URGI CENTER MEDICAL GROUP,REBECCA DAYTON | KRISTEN DELMORE
385,257 LOW ST,NEWBURYPORT,019503556,7,6281498.16,240352,70,1,YES,ERIC BUCHER | LARS LUNDGREN | CAROLYN THUMSER | STACEY SHEEHAN | CHILDREN'S HEALTHCARE INC | DANIELLE ROSEN | JESSICA CANNING,JANELLE MORLEY
386,48 AUBURN ST,AUBURN,01501,4,6236430.32,134811,38,3,,GEORGIOS PONIROS | AUBURN PODIATRY LLP | REEMA DHINGRA DMD PC dba <UNAVAIL> | MICHAEL J COHN O.D. PLLC dba <UNAVAIL>,PATRICIA SULLIVAN | MICHAEL COHN | REEMA DHINGRA
387,227 BABCOCK ST,BROOKLINE,024466773,2,6215949.41,55635,13,1,YES,"HRI HOSPITAL, INC dba <UNAVAIL> | ANTHONY RAYNES",STEVE FILTON
388,203 EAST ST,EASTHAMPTON,010271234,2,6193214.78,56302,12,1,YES,"NORTHEAST CENTER FOR YOUTH AND FAMILIES, INC. | ALEXANDRA SHUMWAY",PAUL RILLA
389,943 GRAFTON ST,WORCESTER,016042003,2,6149706.28,147240,37,1,YES,DENTAL DREAMS LLC | YOON SEON YANG,TROY KLUCK
390,123 CAPTAINS ROW,CHELSEA,02150,2,6135681.27,43785,7,1,YES,"CHELSEA JEWISH COMMUNITY, INC. dba <UNAVAIL> | CHELSEA JEWISH COMMUNITY, INC. dba <UNAVAIL>",ADAM BERMAN
391,465 WALNUT ST,FALL RIVER,027203315,2,6090233.58,195036,65,1,YES,ALI TURAL | TURAL PEDIATRICS,ALI TURAL
392,20 CLAFLIN STREET,MILFORD,017573356,2,6030501.96,143413,5,1,YES,CLAFLIN HILL CORPORATION dba <UNAVAIL> | CHESHIRE ADULT DAY CARE INC,DEBORAH KLOCK
393,750 UNION ST,FRANKLIN,020382539,3,5979198.72,68151,26,2,,"MILFORD-FRANKLIN EYE CENTER, LLC | JULIA FELDMAN | HORACE MANN EDUCATIONAL ASSOC INC.",JOHN HATCH | NANCY MCDONALD
394,851 MAIN ST,WEYMOUTH,021901612,5,5965340.36,89323,40,5,,"NATOV MEDICAL ASSOCIATES, PC | IRAJ AGHDASI, MD PC | FOSTER HEALTH SYSTEMS INC | WEYMOUTH ORAL AND MAXILLOFACIAL SURGERY, PC | WEYMOUTH PEDIATRICS PC",JAVED HUSSAIN | GEORGE MAGABE | LAWRENCE JUVET | SVETLOZAR NATOV | IRAJ AGHDASI
395,68 NEW EDGERLY RD,BOSTON,02115,2,5890934.11,87379,33,1,YES,BAHRAM GHASSEMI | DIBA DASTAJERDI DMD PC dba <UNAVAIL>,DIBA DASTAJERDI
396,209 SOUTH ST,HOLYOKE,010403611,2,5890015.28,154931,4,2,,"SOUTH STREET ADULT CARE, LLC dba <UNAVAIL> | ADULT DAY HEALTH, INC. dba <UNAVAIL>",JOANN MCCLUSKEY | GINA MARTIN
397,516 CAREW ST,SPRINGFIELD,011042330,6,5885697.87,43575,38,3,,"AMY ARGUIN | THE SHRINERS' HOSPITAL FOR CHILDREN | THE SHRINERS' HOSPITAL FOR CHILDREN dba <UNAVAIL> | RUBINI PATHY | PEDIATRIC ORTHOTIC AND PROSTHETIC SERVICES-NORTHEAST,LLC | KERI GARRY",BROCK MCCONKEY | H. KIRK | LEE KIRK
398,140 HIGH ST,SPRINGFIELD,011051442,23,5883174.73,219045,32,1,YES,SUDEEP AULAKH | BETH BROWN | PETER BLIER | STEPHANIE CARLIN | BOOKER BUSH | LAUREN MEADE | JOHN O'REILLY | ORLANDO TORRES | LINDA CANTY | MATTHEW SADOF | MAYU SEKIGUCHI RUNGE | NICOLA SUMOROK | ERIC CHURCHILL | KATHRYN JOBBINS | JALIL JOHNSON | ADAM KASPER | NICOLAS CAL | DANIELLE GIBBS | HEALTHPOINT HOMECARE SERVICES LLC | VINCENT MARIANO | DANIEL WINTERS | CAITLYN WASSERMAN | ZAID OBAIDA,FREDRICK ODHIAMBO
399,115 MILL ST,BELMONT,024781041,7,5805518.46,93324,36,1,YES,WHITNEY WYKOFF | THE MCLEAN HOSPITAL CORPORATION dba <UNAVAIL> | STEVEN SPITZ | THE MCLEAN HOSPITAL CORPORATION | MILES CUNNINGHAM | SIMON DESJARDINS | EDWARD BARTON,JOSEPH GOLD
400,173 OXFORD ST,LYNN,019011117,6,5798495.42,60284,6,1,YES,"J REIMHERR | SHERRYL ROSEN | NICOLE BAISDEN | ELIZABETH REIMHERR | OXFORD INTENSIVE OUTPATIENT RECOVERY PROGRAM,LLC | NICOLE GESAMONDO",J.PHILIP REIMHERR
401,555 PLANTATION ST,WORCESTER,016052376,2,5750474.72,25532,7,2,,"NOTRE DAME HEALTH CARE CENTER, INC. dba <UNAVAIL> | NOTRE DAME HEALTH CARE CENTER, INC. dba <UNAVAIL>",MARGARET COFFIN | KAREN LAGANELLI
402,425 PLEASANT ST,BROCKTON,023012533,3,5738242.51,22624,4,2,,TRACEY WARD | RE-UNITED BEHAVIORAL HEALTH SERVICES | HEALTHY MALE INSTITUTE LLC dba <UNAVAIL>,LUDGER LABISSIERE | PHERNEL MANIGAT
403,262 NEW LUDLOW RD,CHICOPEE,010204324,3,5686785.77,167133,80,1,YES,WESTERN MASS PHYSICIAN ASSOCIATES INC dba <UNAVAIL> | ASMA KAREEM | ANNABEL LEE ESPINAS,PHILLIP CANDITO
404,109 OAK ST,NEWTON,024641492,2,5675551.21,24359,14,1,YES,EPHAT RUSSCOL | BOSTON BEHAVIOR LEARNING CENTERS,MARIA MACLEAN
405,228 BILLERICA RD,CHELMSFORD,018243604,40,5645980.18,77384,71,1,YES,"CAROLINE BEVONA | CHRISTINA WEI | LAURA LEE | DAVID SALOMON | KIMBERLY TRESCH | KAREN DASILVA | MILTON DRAKE | RAJ GUPTA | PATRICIA MONTAPERTO | STEVEN MORGENSTERN | WEN YEE LEE | DANKA SAMARDZIC | MANOJ MOHOLKAR | VENKATA SATYAM | RAFAEL PUPO | LAKSHMI SIVASANKAR | MARCIA WALSH | STEPHANIE LEWIS | DAVID MERENS | RACHEL NEGRIS | MICHAEL AYER | TARA THURSTON | MELVIN NEMKOV | ATRIUS HEALTH, INC. dba <UNAVAIL> | NICOLE LYNCH | MYTHILY MEDA | LAUREN HITTNER | WOOSEUNG LEE | GLORIA-LEE KAZAKOV | LISA HILL | NORA WATSON | ELINOR BROWN | ERIN LAGER | RIZWANA SABEEH | NICOLE LEVINE | ALINA BAHLAVOUNI | BESHOY SIDHOM | JENNIFER LIANO | KAILA CUTICCHIA | NATASHA THIAGALINGAM",STEVE STRONGWATER
406,243 KING ST,NORTHAMPTON,010602451,2,5633171.16,13962,14,2,,"JAMES E. CLAYTON, JR., D.M.D., P.C. | LIFE CHOICE HOSPICE OF MASSACHUSETTS, LLC","JAMES,JR. CLAYTON | RUSSELL ADKINS"
407,20 TOWER OFFICE PARK,WOBURN,018012113,6,5628060.17,123061,15,1,YES,BRIAN OCONNOR | TARAJEAN LEWIS | MIDDLESEX RECOVERY PROFESSIONAL CORPORATION | ANTHONY POMPI | MICHAEL HALL | CHRISTINE GUY,BRUCE JARVIE
408,35 SUMMER STREET,TAUNTON,027803469,2,5619473.41,59842,31,1,YES,"ERIC RUBY | MELISSA A HAMILTON, DMD, INC.",MELISSA HAMILTON
409,116 SUMMER ST,HAVERHILL,018306032,3,5522169.70,66814,17,1,YES,"FRANCINE EISENMAN | HRI CLINICS, INC. dba <UNAVAIL> | EDWIN PAUKERT",CHRISTINE ASACK
410,200 CORDWAINER DR,NORWELL,020611671,3,5468205.59,47718,15,1,YES,SOUTH SHORE CENTER FOR WELLNESS LTD dba <UNAVAIL> | SANDRA BUTLER | KIRA SALHANEY,KENNETH ROOD
411,80 WASHINGTON ST STE P55,NORWELL,02061,4,5448799.62,32015,9,1,YES,"PROVEN BEHAVIOR SOLUTIONS, LLC dba <UNAVAIL> | KELLY CABEZAS | KATELYN-SHENG GERRIOR | PROVEN BEHAVIOR SOLUTIONS, LLC",SCOTT SNIDER
412,130 MAPLE STREET,SPRINGFIELD,01103,2,5442380.18,76252,13,1,YES,CENTER FOR PSYCHOLOGICAL AND FAMILY SERVICES INC dba <UNAVAIL> | ROSE DELSIGNORE,JAMES GELINAS
413,50 STANIFORD ST,BOSTON,021142517,9,5366213.97,64210,28,2,,"ALBERT YEUNG | OPHTHALMIC CONSULTANTS OF BOSTON, INC. dba <UNAVAIL> | BOSTON EYE SURGERY & LASER CENTER TRUST dba <UNAVAIL> | CLINTON PONG | JENNA LOUGHLIN | SATU SALONEN | LAURA STURGILL | ANNA GARZA-MAYERS | ANESTHESIA CONSULTANTS OF MASSACHUSETTS LLC",SUSANNE ELLARD | SUZANNE MCDERMOTT
414,300 BIRNIE AVE,SPRINGFIELD,011071107,19,5360264.89,237781,56,3,,"CHESTNUT MEDICAL ASSOCIATES, INC | STEPHEN KELLY | PAUL KOERNER | MARTIN LUBER | NEW ENGLAND ORTHOPEDIC SURGEONS | STEVEN WENNER | LOIS NICHOLS | JOHN CORSETTI | ROBERT COWAN | LOUIS ADLER | BENNETT BURNS | ANDREW LEHMAN | JOSEPH SKLAR | TAMER BAHGAT | JULIUS BRECHT | NEW ENGLAND ORTHOPEDICS PHYSICAL THERAPY | JORDAN GREENBAUM | JACQUELINE VANDERZANDEN | CRAIG LAREAU",JOHN EGELHOFER | MARTIN LUBER | JOHN CORSETTI
415,225 CEDAR HILL ST STE 200,MARLBOROUGH,017525900,8,5331342.98,31801,9,1,YES,PAMELA PETERSON | KATHRYN BASSETT | AES GROUP USA INC dba <UNAVAIL> | KATHERINE RYAN | VITTORIA PETERSON | ANDREW NUZZOLILLI | ISLAM AFFANEH | MADELYN HOI,MARK HARPER
416,66 CANAL ST,BOSTON,021142002,4,5257201.46,499073,26,3,,"BAY COVE HUMAN SERVICES, INC dba <UNAVAIL> | DANIEL HALLORAN | COMMUNITY CARE PARTNERS LLC | COMMUNITY CARE PARTNERS LLC",LOUIS JOSEPHSON | CARLEY LUBARSKY | WILLIAM SPRAGUE
417,34 PEARLY LN,GARDNER,014401736,3,5251790.62,141264,12,1,YES,CARE CENTRAL VNA & HOSPICE INC dba <UNAVAIL> | CARE CENTRAL VNA & HOSPICE INC dba <UNAVAIL> | CARE CENTRAL VNA & HOSPICE INC dba <UNAVAIL>,LISA SABACINSKI
418,2 WASHINGTON AVE,CHELSEA,021503902,2,5188727.89,64480,28,2,,BELLINGHAM SQUARE FAMILY DENTAL PC | SPRINGFIELD FAMILY DENTAL PC,RAYMOND RUDDY | ALEX FAIGEL
419,214 MAIN ST,MALDEN,021486907,2,5174820.65,31730,13,2,,"COMFYDENTAL | ABA CONCEPTS, INC. dba <UNAVAIL>",BETZAIDA FUENTES | ZIAD ESKANDAR
420,135 BEAVER ST,WALTHAM,024528412,2,5162874.35,60303,23,2,,"WALTHAM DIALYSIS LLC dba <UNAVAIL> | WALTHAM COMMITTEE, INC dba <UNAVAIL>",SARA BRADY | NANCY SILVER-HARGREAVES
421,"725 ALBANY STREET, SUITE 7B",BOSTON,021183549,4,5103816.48,78256,55,1,YES,"PETER SIAO-TICK-CHONG | BOSTON UNIVERSITY NEUROLOGY ASSOCIATES, INC. | NEAL PARIKH | RACHEL CAPLAN",DAVID GREER
422,45 FRANKLIN ST FL 1,BOSTON,021101334,2,5065480.70,40464,12,1,YES,"BRIAN FLIGOR | TOBIAS & BATTITE, INC dba <UNAVAIL>",BRIAN FLIGOR
423,457 MAIN ST,GARDNER,014403018,2,5064509.52,71590,11,2,,WOOD'S AMBULANCE INC. | WOOD'S EMS INC,JAMES WOOD | JENNIFER WOOD
424,270 UNION ST,LYNN,019011348,4,5056661.51,119764,40,3,,PSYCHIATRIC ASSOCIATES OF LYNN PC | LAURA O'MEARA | DR. DENTAL OF LYNN PC | SPRINGFIELD FAMILY DENTAL PC,JOHN REIMHERR | RAYMOND RUDDY | ALEX FAIGEL
425,881 SOUTH ST,FITCHBURG,014206252,7,5047830.11,102683,57,3,,"DARIA KAROS | NEIGHBORHOOD PEDIATRICS PC | LYNETTE KNIGHT | WENDY WHEELER | IMELDA GARCIA | FITCHBURG PEDIATRICS, P.C. dba <UNAVAIL> | D. H. DENTAL PC",FRANCIS MCLAUGHLIN | DARIA KAROS | ISLAM DEHIS
426,200 LINCOLN ST,WORCESTER,016052528,5,5029289.51,217608,56,2,,PRABHASADANAM SADHUJAN | KYONG-WON KONG | JAMES PEASE | DANIEL MOHEBAN DMD PC | LIANNE INC,MOHAMMAD ALHABBAL | DANIEL MOHEBAN
427,10 CHESTNUT STREET,NEEDHAM,02492,2,5018095.33,51153,14,1,YES,MARON DGA PC dba <UNAVAIL> | ROBERT MARON,ROBERT MARON
428,193 LOCUST ST,NORTHAMPTON,010602066,18,4973654.17,172442,53,1,YES,"DAVID STEELE | DIANA JOHANSON | JONATHAN SCHWAB | PETER KENNY | SCOTT COCHRANE | JANE CROSS | KRISTIN LYNCH | PETER EVERETT | NORTHAMPTON AREA PEDIATRICS, LLP | BETH SHAINE | MONIQUE PATTEN | AMANDA DICKERSON | AMANDA BARNHART | KRISTEN DESCHENE | PHOEBE WOERNER | CASEY FEIN | ABBY WHITMAN | LAURA GINEO",PETER KENNY
429,20 CABOT BLVD STE 300,MANSFIELD,020481183,3,4973418.98,26605,4,2,,TONIA ZARRELLA | BLOOM INTO WELLNESS LLC | ALL ABOUT YOU ADULT FOSTER CARE LLC,TONIA ZARRELLA | JORDAN ANDERSON
430,64 ROANOKE AVE,WEST SPRINGFIELD,010893710,2,4972446.63,26789,5,2,,BAROCO CORPORATION | NUESTRA CASA LLC,TIMOTHY CLARK | ALEX EYDINOV
431,390 ORLEANS RD,NORTH CHATHAM,026501154,2,4969285.53,5562,6,1,YES,BROAD REACH HOSPICE & PALLIATIVE CARE LLC | CAREDOCCOMM,WILLIAM BOGDANOVICH
432,71 HOSPITAL AVE,NORTH ADAMS,01247,9,4893322.82,82020,120,2,,"DOUGLAS ONEILL | VICTORIA MAXWELL | OSCAR RODRIGUEZ | FRED LANDES | SARAH CHENAIL | SOUND PHYSICIANS OF MASSACHUSETTS INC dba <UNAVAIL> | BERKSHIRE MEDICAL CENTER, INC dba <UNAVAIL> | FAIRVIEW HOSPITAL dba <UNAVAIL> | NORTH ADAMS REGIONAL HOSPITAL CORPORATION",DARLENE RODOWICZ | ROBERT BESSLER
433,434 ROUTE 134,SOUTH DENNIS,026603433,3,4889825.80,78363,19,3,,"VISITING NURSE ASSOCIATION OF CAPE COD, INC. | INMED DIAGNOSTIC SERVICES OF MASSACHUSETTS LLC dba <UNAVAIL> | CRANBERRY SQUARE DERMATOLOGY PC",BRIAN YONKER | AMY KOFF | ELIZABETH LONGTON
434,208 MILL RD,FAIRHAVEN,027195208,2,4840064.82,84342,39,1,YES,"SOUTHCOAST PHYSICIANS GROUP, INC. dba <UNAVAIL> | SARAH SULLIVAN",TAMMY ZIZZO
435,453 SUMNER AVE,SPRINGFIELD,011082320,3,4839444.54,170428,21,1,YES,TRACY HARADON | BRITT ADORNATO | FOREST PARK EYE CARE PC,BRITT ADORNATO
436,430 COOLEY ST,SPRINGFIELD,011281180,2,4819230.73,89378,23,1,YES,"MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS dba <UNAVAIL> | MEDEXPRESS URGENT CARE, PC - MASSACHUSETTS dba <UNAVAIL>",JOY KIMBALL
437,484 PLEASANT ST,BROCKTON,023012535,2,4782413.07,33193,7,1,YES,TAMARRA ARISTILDE | TJOCELYNE COUNSELING & CONSULTING LLC. dba <UNAVAIL>,TAMARRA ARISTILDE
438,50 HOLYOKE ST,HOLYOKE,010402709,9,4781096.86,85562,37,2,,"SAMUEL LU | WEI-YUAN CHANG | MINGHAO CHEN | DR. MINGHAO ERIC CHEN, P.C. dba <UNAVAIL> | SUSANA AGUERO | PAULOMI NAIK | COLLIN REINERS | REINERS EYECARE, PC | WEI LIU",COLLIN REINERS | MINGHAO CHEN
439,61 LINCOLN ST STE 203,FRAMINGHAM,017028264,8,4736535.74,71283,9,1,YES,BARBARA HIGNITE | DEBORAH STONE | LYNNETTA LOVELAND | KATIE TAWAKOL | SPECTRUM NEURO BEHAVIORAL CARE LLC dba <UNAVAIL> | JENNIFER SILLS | HAMSHIRA SULAMAN | DAVID LABRANCHE,FURQUAN SYED
