PRIORITY,ADDRESS,CITY,ZIP,TOTAL MEDICAID $,NUM ENTITIES,WHY FLAGGED,ENTITY 1,ENTITY 1 $,PERSON IN CHARGE,PHONE,ENTITY 2,ENTITY 2 $,PERSON IN CHARGE,PHONE,ENTITY 3,ENTITY 3 $,PERSON IN CHARGE,PHONE,ALL ENTITIES,ALL PERSONS
P2 - HIGH,1050 COMMONWEALTH AVE,BOSTON,2215,30179895,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,SUBURBAN HOME HEALTH CARE INC,23524729,MICHAEL ROPER (PRESIDENT),(617) 264-7100,"SUBURBAN HOMEMAKING & MATERNITY AGENCY, INC.",6655166,MICHAEL ROPER (CEO),(617) 232-7650,,0,,,"SUBURBAN HOME HEALTH CARE INC /// SUBURBAN HOMEMAKING & MATERNITY AGENCY, INC.",MICHAEL ROPER
P2 - HIGH,34 GIFFORD ST,NEW BEDFORD,2744,24021655,3,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,"GIFFORD STREET WELLNESS CENTER, LLC",24012086,BRIAN FARLEY (VP & SECRETARY),(508) 999-3126,KATHY GAYOSKI,9329,,(508) 999-3126,"GIFFORD STREET WELLNESS CENTER, LLC",240,BRIAN FARLEY (VP & SECRETARY),(508) 999-3126,"GIFFORD STREET WELLNESS CENTER, LLC /// KATHY GAYOSKI /// GIFFORD STREET WELLNESS CENTER, LLC",BRIAN FARLEY
P2 - HIGH,37 BELMONT ST,BROCKTON,2301,23323468,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,TRAUMA TO WELLNESS INC.,23315555,SEUN ADEJUMO (CEO),(781) 267-5475,DIALA ALKHALIL,7913,,(508) 580-4091,,0,,,TRAUMA TO WELLNESS INC. /// DIALA ALKHALIL,SEUN ADEJUMO
P2 - HIGH,330 LYNNWAY,LYNN,1901,22432656,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,"MULTICULTURAL HOME CARE, INC.",22408860,GREGORY GEORGE (CONTRACTS AND CREDENTIALING MANAGER),(781) 596-2323,DAVID DOUGLAS,23796,,(781) 593-6005,,0,,,"MULTICULTURAL HOME CARE, INC. /// DAVID DOUGLAS",GREGORY GEORGE
P2 - HIGH,29 MEMORIAL DR,AVON,2322,16674012,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,SULLY HOME CARE SERVICES,16541927,OSMAN SULLY (VP),(617) 212-6527,SULLY HOME CARE TRANSPORTATION LLC,132086,OSMAN SULLY (VP),(508) 510-6963,,0,,,SULLY HOME CARE SERVICES /// SULLY HOME CARE TRANSPORTATION LLC,OSMAN SULLY
P2 - HIGH,15 UNION ST,LAWRENCE,1840,13878893,5,5 ENTITIES AT ONE ADDRESS | OVER $10M BILLED | ONE PERSON RUNS ALL,A QUALITY HOME CARE INC,13443660,ELIZABETH KAARA (CEO),(978) 688-5000,GERALDO PAGAN,316577,,(978) 476-9016,JENNIFER POWELL,73104,,(978) 688-4830,A QUALITY HOME CARE INC /// GERALDO PAGAN /// JENNIFER POWELL /// MARY LOGAN /// MBITA MBAO,ELIZABETH KAARA
P2 - HIGH,103 MYRON ST,WEST SPRINGFIELD,1089,13269019,6,SAME PERSON CONTROLS ALL ENTITIES | 6 ENTITIES AT ONE ADDRESS | OVER $10M BILLED | ONE PERSON RUNS ALL,"WEST CENTRAL FAMILY & COUNSELING, LTD",12952736,DANIEL BAKER (CEO),(413) 592-1980,EMAD ESKANDER,195270,,(413) 592-1980,RENA TROUGHTON,100988,,(413) 592-1980,"WEST CENTRAL FAMILY & COUNSELING, LTD /// EMAD ESKANDER /// RENA TROUGHTON /// MARY MCCALL /// SABRA SULLIVAN /// MERCY MBUTHIA",DANIEL BAKER
P2 - HIGH,411 CHANDLER ST,WORCESTER,1602,11766195,8,SAME PERSON CONTROLS ALL ENTITIES | 8 ENTITIES AT ONE ADDRESS | OVER $10M BILLED | ONE PERSON RUNS ALL,"ELDER SERVICES OF WORCESTER AREA, INC",11143981,MARY BALTRAMAITIS (FISCAL MANAGER),(508) 756-1545,ADRIENNE SULLIVAN,220821,,(508) 799-0688,ESMELINDA ASAMOAH,179386,,(508) 471-5600,"ELDER SERVICES OF WORCESTER AREA, INC /// ADRIENNE SULLIVAN /// ESMELINDA ASAMOAH /// DANIEL TERBUSH /// REBECCA ROSS /// STACEY ROGERS /// SHIVANI PEREIRA /// LAUREN GRIFF",MARY BALTRAMAITIS
P2 - HIGH,34 SCHOOL ST,FOXBORO,2035,11067685,2,SAME PERSON CONTROLS ALL ENTITIES | OVER $10M BILLED | ONE PERSON RUNS ALL,PEACE & HARMONY HOME CARE LLC,10979340,CLARA ELEONU (ADMINISTRATOR),(774) 215-5468,PATRICK SWEENEY,88344,,(508) 543-3411,,0,,,PEACE & HARMONY HOME CARE LLC /// PATRICK SWEENEY,CLARA ELEONU
P2 - HIGH,140 HIGH ST,SPRINGFIELD,1105,5883175,23,SAME PERSON CONTROLS ALL ENTITIES | 23 ENTITIES AT ONE ADDRESS | OVER $1M BILLED | ONE PERSON RUNS ALL,JOHN O'REILLY,917324,,(413) 794-2515,HEALTHPOINT HOMECARE SERVICES LLC,821369,FREDRICK ODHIAMBO (CEO),(413) 455-2472,MATTHEW SADOF,621356,,(413) 794-2515,JOHN O'REILLY /// HEALTHPOINT HOMECARE SERVICES LLC /// MATTHEW SADOF /// ORLANDO TORRES /// KATHRYN JOBBINS /// NICOLA SUMOROK /// LINDA CANTY /// LAUREN MEADE /// BOOKER BUSH /// ERIC CHURCHILL /// SUDEEP AULAKH /// BETH BROWN /// ADAM KASPER /// MAYU SEKIGUCHI RUNGE /// PETER BLIER /// CAITLYN WASSERMAN /// STEPHANIE CARLIN /// NICOLAS CAL /// DANIELLE GIBBS /// DANIEL WINTERS /// JALIL JOHNSON /// VINCENT MARIANO /// ZAID OBAIDA,FREDRICK ODHIAMBO
P2 - HIGH,6 STRATHMORE RD,NATICK,1760,959811,7,SAME PERSON CONTROLS ALL ENTITIES | 7 ENTITIES AT ONE ADDRESS | ONE PERSON RUNS ALL,RCS BEHAVIORAL AND EDUCATIONAL CONSULTING,488117,JENNIFER RUTLAND (DIRECTOR OF CONSULTING),(508) 650-5946,SARAH BARNATCHEZ,152265,,(508) 650-5990,SHAWN BRYANT,129982,,(508) 650-5940,RCS BEHAVIORAL AND EDUCATIONAL CONSULTING /// SARAH BARNATCHEZ /// SHAWN BRYANT /// ARIANE MAZUR /// MEGAN BREAULT /// EMILY MERCIER /// HILLARY JOYCE,JENNIFER RUTLAND
P2 - HIGH,599 CANAL ST SUITE 1,LAWRENCE,1840,947758,2,SAME PERSON CONTROLS ALL ENTITIES | ONE PERSON RUNS ALL,YAKAIRA RIGUEIRO,554103,,(978) 686-8202,INTEGRITY MEDICAL TRANSPORTATION CORP.,393654,CIPRIANO VARGAS (PRESIDENT),(978) 902-8106,,0,,,YAKAIRA RIGUEIRO /// INTEGRITY MEDICAL TRANSPORTATION CORP.,CIPRIANO VARGAS
P2 - HIGH,5 MIDDLESEX AVE,WILMINGTON,1887,664745,3,SAME PERSON CONTROLS ALL ENTITIES | ONE PERSON RUNS ALL,WILMINGTON FAMILY COUNSELING SERVICE INC,320480,CAROL GOLUB (EXECUTIVE DIRECTOR),(978) 658-9889,TRACEY MARRIGAN,316838,,(978) 658-9889,PAMELA CORRIGAN,27427,,(978) 658-9889,WILMINGTON FAMILY COUNSELING SERVICE INC /// TRACEY MARRIGAN /// PAMELA CORRIGAN,CAROL GOLUB
